"","Pond","temp","O2mg","O2sat","date","hour","jdate"
"34","DW1",23.636,0.084,0.991111,2025-07-24 01:27:00,1,205
"35","DW1",23.644,0.084,0.99126,2025-07-24 01:37:00,1,205
"36","DW1",23.644,0.084,0.99126,2025-07-24 01:47:00,1,205
"37","DW1",23.652,0.083,0.979606,2025-07-24 01:57:00,1,205
"38","DW1",23.652,0.084,0.991409,2025-07-24 02:07:00,2,205
"39","DW1",23.661,0.083,0.979772,2025-07-24 02:17:00,2,205
"40","DW1",23.661,0.084,0.991576,2025-07-24 02:27:00,2,205
"41","DW1",23.661,0.084,0.991576,2025-07-24 02:37:00,2,205
"42","DW1",23.661,0.083,0.979772,2025-07-24 02:47:00,2,205
"43","DW1",23.669,0.084,0.991725,2025-07-24 02:57:00,2,205
"44","DW1",23.652,0.083,0.979606,2025-07-24 03:07:00,3,205
"45","DW1",23.652,0.084,0.991409,2025-07-24 03:17:00,3,205
"46","DW1",23.652,0.084,0.991409,2025-07-24 03:27:00,3,205
"47","DW1",23.636,0.084,0.991111,2025-07-24 03:37:00,3,205
"48","DW1",23.636,0.084,0.991111,2025-07-24 03:47:00,3,205
"49","DW1",23.619,0.084,0.990794,2025-07-24 03:57:00,3,205
"50","DW1",23.611,0.084,0.990645,2025-07-24 04:07:00,4,205
"51","DW1",23.594,0.085,1.002118,2025-07-24 04:17:00,4,205
"52","DW1",23.569,0.084,0.989863,2025-07-24 04:27:00,4,205
"53","DW1",23.527,0.084,0.989081,2025-07-24 04:37:00,4,205
"54","DW1",23.518,0.084,0.988913,2025-07-24 04:47:00,4,205
"55","DW1",23.493,0.085,1.000215,2025-07-24 04:57:00,4,205
"56","DW1",23.451,0.085,0.999424,2025-07-24 05:07:00,5,205
"57","DW1",23.426,0.085,0.998954,2025-07-24 05:17:00,5,205
"58","DW1",23.409,0.085,0.998634,2025-07-24 05:27:00,5,205
"59","DW1",23.401,0.085,0.998483,2025-07-24 05:37:00,5,205
"60","DW1",23.367,0.085,0.997843,2025-07-24 05:47:00,5,205
"61","DW1",23.342,0.085,0.997372,2025-07-24 05:57:00,5,205
"62","DW1",23.317,0.085,0.996902,2025-07-24 06:07:00,6,205
"63","DW1",23.309,0.085,0.996751,2025-07-24 06:17:00,6,205
"64","DW1",23.284,0.085,0.996281,2025-07-24 06:27:00,6,205
"65","DW1",23.259,0.085,0.99581,2025-07-24 06:37:00,6,205
"66","DW1",23.25,0.085,0.995641,2025-07-24 06:47:00,6,205
"67","DW1",23.25,0.086,1.007354,2025-07-24 06:57:00,6,205
"68","DW1",23.233,0.085,0.995321,2025-07-24 07:07:00,7,205
"69","DW1",23.208,0.085,0.994851,2025-07-24 07:17:00,7,205
"70","DW1",23.2,0.085,0.9947,2025-07-24 07:27:00,7,205
"71","DW1",23.191,0.085,0.994531,2025-07-24 07:37:00,7,205
"72","DW1",23.183,0.086,1.006079,2025-07-24 07:47:00,7,205
"73","DW1",23.191,0.086,1.006231,2025-07-24 07:57:00,7,205
"74","DW1",23.166,0.086,1.005755,2025-07-24 08:07:00,8,205
"75","DW1",23.183,0.085,0.99438,2025-07-24 08:17:00,8,205
"76","DW1",23.158,0.086,1.005603,2025-07-24 08:27:00,8,205
"77","DW1",23.166,0.086,1.005755,2025-07-24 08:37:00,8,205
"78","DW1",23.166,0.085,0.994061,2025-07-24 08:47:00,8,205
"79","DW1",23.15,0.086,1.005451,2025-07-24 08:57:00,8,205
"80","DW1",23.15,0.086,1.005451,2025-07-24 09:07:00,9,205
"81","DW1",23.15,0.086,1.005451,2025-07-24 09:17:00,9,205
"82","DW1",23.158,0.086,1.005603,2025-07-24 09:27:00,9,205
"83","DW1",23.158,0.086,1.005603,2025-07-24 09:37:00,9,205
"84","DW1",23.175,0.086,1.005927,2025-07-24 09:47:00,9,205
"85","DW1",23.158,0.085,0.99391,2025-07-24 09:57:00,9,205
"86","DW1",23.15,0.086,1.005451,2025-07-24 10:07:00,10,205
"87","DW1",23.166,0.086,1.005755,2025-07-24 10:17:00,10,205
"88","DW1",23.166,0.086,1.005755,2025-07-24 10:27:00,10,205
"89","DW1",23.175,0.086,1.005927,2025-07-24 10:37:00,10,205
"90","DW1",23.166,0.086,1.005755,2025-07-24 10:47:00,10,205
"91","DW1",23.158,0.085,0.99391,2025-07-24 10:57:00,10,205
"92","DW1",23.175,0.086,1.005927,2025-07-24 11:07:00,11,205
"93","DW1",23.175,0.086,1.005927,2025-07-24 11:17:00,11,205
"94","DW1",23.183,0.086,1.006079,2025-07-24 11:27:00,11,205
"95","DW1",23.2,0.085,0.9947,2025-07-24 11:37:00,11,205
"96","DW1",23.175,0.086,1.005927,2025-07-24 11:47:00,11,205
"97","DW1",23.2,0.086,1.006402,2025-07-24 11:57:00,11,205
"98","DW1",23.208,0.086,1.006555,2025-07-24 12:07:00,12,205
"99","DW1",23.208,0.086,1.006555,2025-07-24 12:17:00,12,205
"100","DW1",23.242,0.086,1.007202,2025-07-24 12:27:00,12,205
"101","DW1",23.242,0.086,1.007202,2025-07-24 12:37:00,12,205
"102","DW1",23.267,0.085,0.995961,2025-07-24 12:47:00,12,205
"103","DW1",23.275,0.085,0.996111,2025-07-24 12:57:00,12,205
"104","DW1",23.275,0.085,0.996111,2025-07-24 13:07:00,13,205
"105","DW1",23.292,0.085,0.996431,2025-07-24 13:17:00,13,205
"106","DW1",23.292,0.086,1.008154,2025-07-24 13:27:00,13,205
"107","DW1",23.317,0.085,0.996902,2025-07-24 13:37:00,13,205
"108","DW1",23.334,0.085,0.997222,2025-07-24 13:47:00,13,205
"109","DW1",23.334,0.085,0.997222,2025-07-24 13:57:00,13,205
"110","DW1",23.351,0.085,0.997542,2025-07-24 14:07:00,14,205
"111","DW1",23.367,0.085,0.997843,2025-07-24 14:17:00,14,205
"112","DW1",23.401,0.085,0.998483,2025-07-24 14:27:00,14,205
"113","DW1",23.409,0.085,0.998634,2025-07-24 14:37:00,14,205
"114","DW1",23.451,0.084,0.987666,2025-07-24 14:47:00,14,205
"115","DW1",23.46,0.085,0.999594,2025-07-24 14:57:00,14,205
"116","DW1",23.485,0.085,1.000065,2025-07-24 15:07:00,15,205
"117","DW1",23.51,0.084,0.988765,2025-07-24 15:17:00,15,205
"118","DW1",23.527,0.084,0.989081,2025-07-24 15:27:00,15,205
"119","DW1",23.543,0.084,0.989379,2025-07-24 15:37:00,15,205
"120","DW1",23.585,0.084,0.990161,2025-07-24 15:47:00,15,205
"121","DW1",23.594,0.084,0.990328,2025-07-24 15:57:00,15,205
"122","DW1",23.611,0.084,0.990645,2025-07-24 16:07:00,16,205
"123","DW1",23.627,0.085,1.00274,2025-07-24 16:17:00,16,205
"124","DW1",23.652,0.084,0.991409,2025-07-24 16:27:00,16,205
"125","DW1",23.686,0.084,0.992042,2025-07-24 16:37:00,16,205
"126","DW1",23.728,0.083,0.981005,2025-07-24 16:47:00,16,205
"127","DW1",23.711,0.084,0.992508,2025-07-24 16:57:00,16,205
"128","DW1",23.753,0.084,0.99329,2025-07-24 17:07:00,17,205
"129","DW1",23.778,0.084,0.993756,2025-07-24 17:17:00,17,205
"130","DW1",23.787,0.084,0.993924,2025-07-24 17:27:00,17,205
"131","DW1",23.803,0.083,0.982386,2025-07-24 17:37:00,17,205
"132","DW1",23.829,0.083,0.982865,2025-07-24 17:47:00,17,205
"133","DW1",23.879,0.083,0.983786,2025-07-24 17:57:00,17,205
"134","DW1",23.904,0.083,0.984246,2025-07-24 18:07:00,18,205
"135","DW1",23.904,0.083,0.984246,2025-07-24 18:17:00,18,205
"136","DW1",23.904,0.083,0.984246,2025-07-24 18:27:00,18,205
"137","DW1",23.929,0.083,0.984707,2025-07-24 18:37:00,18,205
"138","DW1",23.954,0.083,0.985167,2025-07-24 18:47:00,18,205
"139","DW1",23.98,0.083,0.985646,2025-07-24 18:57:00,18,205
"140","DW1",23.98,0.083,0.985646,2025-07-24 19:07:00,19,205
"141","DW1",23.98,0.083,0.985646,2025-07-24 19:17:00,19,205
"142","DW1",24.03,0.083,0.986568,2025-07-24 19:27:00,19,205
"143","DW1",24.03,0.083,0.986568,2025-07-24 19:37:00,19,205
"144","DW1",24.063,0.083,0.987176,2025-07-24 19:47:00,19,205
"145","DW1",24.063,0.083,0.987176,2025-07-24 19:57:00,19,205
"146","DW1",24.063,0.083,0.987176,2025-07-24 20:07:00,20,205
"147","DW1",24.097,0.082,0.975902,2025-07-24 20:17:00,20,205
"148","DW1",24.131,0.082,0.976521,2025-07-24 20:27:00,20,205
"149","DW1",24.122,0.082,0.976357,2025-07-24 20:37:00,20,205
"150","DW1",24.139,0.082,0.976667,2025-07-24 20:47:00,20,205
"151","DW1",24.139,0.082,0.976667,2025-07-24 20:57:00,20,205
"152","DW1",24.156,0.082,0.976977,2025-07-24 21:07:00,21,205
"153","DW1",24.156,0.083,0.988891,2025-07-24 21:17:00,21,205
"154","DW1",24.181,0.082,0.977432,2025-07-24 21:27:00,21,205
"155","DW1",24.181,0.082,0.977432,2025-07-24 21:37:00,21,205
"156","DW1",24.189,0.082,0.977578,2025-07-24 21:47:00,21,205
"157","DW1",24.24,0.082,0.978507,2025-07-24 21:57:00,21,205
"158","DW1",24.257,0.082,0.978817,2025-07-24 22:07:00,22,205
"159","DW1",24.248,0.082,0.978653,2025-07-24 22:17:00,22,205
"160","DW1",24.265,0.082,0.978963,2025-07-24 22:27:00,22,205
"161","DW1",24.282,0.082,0.979273,2025-07-24 22:37:00,22,205
"162","DW1",24.332,0.082,0.980184,2025-07-24 22:47:00,22,205
"163","DW1",24.349,0.082,0.980494,2025-07-24 22:57:00,22,205
"164","DW1",24.34,0.082,0.98033,2025-07-24 23:07:00,23,205
"165","DW1",24.357,0.082,0.98064,2025-07-24 23:17:00,23,205
"166","DW1",24.391,0.082,0.98126,2025-07-24 23:27:00,23,205
"167","DW1",24.416,0.082,0.981716,2025-07-24 23:37:00,23,205
"168","DW1",24.424,0.081,0.969888,2025-07-24 23:47:00,23,205
"169","DW1",24.45,0.081,0.970357,2025-07-24 23:57:00,23,205
"170","DW1",24.441,0.081,0.970194,2025-07-25 00:07:00,0,206
"171","DW1",24.466,0.081,0.970645,2025-07-25 00:17:00,0,206
"172","DW1",24.483,0.081,0.970951,2025-07-25 00:27:00,0,206
"173","DW1",24.492,0.081,0.971113,2025-07-25 00:37:00,0,206
"174","DW1",24.492,0.081,0.971113,2025-07-25 00:47:00,0,206
"175","DW1",24.517,0.081,0.971564,2025-07-25 00:57:00,0,206
"176","DW1",24.534,0.081,0.97187,2025-07-25 01:07:00,1,206
"177","DW1",24.551,0.081,0.972177,2025-07-25 01:17:00,1,206
"178","DW1",24.551,0.081,0.972177,2025-07-25 01:27:00,1,206
"179","DW1",24.551,0.081,0.972177,2025-07-25 01:37:00,1,206
"180","DW1",24.584,0.081,0.972772,2025-07-25 01:47:00,1,206
"181","DW1",24.559,0.081,0.972321,2025-07-25 01:57:00,1,206
"182","DW1",24.601,0.081,0.973078,2025-07-25 02:07:00,2,206
"183","DW1",24.593,0.081,0.972934,2025-07-25 02:17:00,2,206
"184","DW1",24.609,0.081,0.973223,2025-07-25 02:27:00,2,206
"185","DW1",24.618,0.081,0.973385,2025-07-25 02:37:00,2,206
"186","DW1",24.618,0.081,0.973385,2025-07-25 02:47:00,2,206
"187","DW1",24.651,0.081,0.97398,2025-07-25 02:57:00,2,206
"188","DW1",24.651,0.081,0.97398,2025-07-25 03:07:00,3,206
"189","DW1",24.651,0.081,0.97398,2025-07-25 03:17:00,3,206
"190","DW1",24.651,0.081,0.97398,2025-07-25 03:27:00,3,206
"191","DW1",24.651,0.081,0.97398,2025-07-25 03:37:00,3,206
"192","DW1",24.66,0.081,0.974142,2025-07-25 03:47:00,3,206
"193","DW1",24.668,0.081,0.974286,2025-07-25 03:57:00,3,206
"194","DW1",24.668,0.081,0.974286,2025-07-25 04:07:00,4,206
"195","DW1",24.693,0.081,0.974737,2025-07-25 04:17:00,4,206
"196","DW1",24.685,0.081,0.974593,2025-07-25 04:27:00,4,206
"197","DW1",24.685,0.081,0.974593,2025-07-25 04:37:00,4,206
"198","DW1",24.702,0.081,0.9749,2025-07-25 04:47:00,4,206
"199","DW1",24.693,0.081,0.974737,2025-07-25 04:57:00,4,206
"200","DW1",24.685,0.081,0.974593,2025-07-25 05:07:00,5,206
"201","DW1",24.71,0.08,0.963006,2025-07-25 05:17:00,5,206
"202","DW1",24.693,0.081,0.974737,2025-07-25 05:27:00,5,206
"203","DW1",24.702,0.081,0.9749,2025-07-25 05:37:00,5,206
"204","DW1",24.719,0.08,0.963167,2025-07-25 05:47:00,5,206
"205","DW1",24.685,0.081,0.974593,2025-07-25 05:57:00,5,206
"206","DW1",24.702,0.081,0.9749,2025-07-25 06:07:00,6,206
"207","DW1",24.693,0.081,0.974737,2025-07-25 06:17:00,6,206
"208","DW1",24.702,0.081,0.9749,2025-07-25 06:27:00,6,206
"209","DW1",24.71,0.081,0.975044,2025-07-25 06:37:00,6,206
"210","DW1",24.702,0.081,0.9749,2025-07-25 06:47:00,6,206
"211","DW1",24.702,0.081,0.9749,2025-07-25 06:57:00,6,206
"212","DW1",24.71,0.081,0.975044,2025-07-25 07:07:00,7,206
"213","DW1",24.693,0.081,0.974737,2025-07-25 07:17:00,7,206
"214","DW1",24.677,0.081,0.974449,2025-07-25 07:27:00,7,206
"215","DW1",24.677,0.081,0.974449,2025-07-25 07:37:00,7,206
"216","DW1",24.693,0.081,0.974737,2025-07-25 07:47:00,7,206
"217","DW1",24.677,0.081,0.974449,2025-07-25 07:57:00,7,206
"218","DW1",24.685,0.081,0.974593,2025-07-25 08:07:00,8,206
"219","DW1",24.685,0.081,0.974593,2025-07-25 08:17:00,8,206
"220","DW1",24.685,0.081,0.974593,2025-07-25 08:27:00,8,206
"221","DW1",24.677,0.081,0.974449,2025-07-25 08:37:00,8,206
"222","DW1",24.685,0.081,0.974593,2025-07-25 08:47:00,8,206
"223","DW1",24.685,0.081,0.974593,2025-07-25 08:57:00,8,206
"224","DW1",24.685,0.081,0.974593,2025-07-25 09:07:00,9,206
"225","DW1",24.685,0.082,0.986625,2025-07-25 09:17:00,9,206
"226","DW1",24.677,0.081,0.974449,2025-07-25 09:27:00,9,206
"227","DW1",24.677,0.081,0.974449,2025-07-25 09:37:00,9,206
"228","DW1",24.677,0.081,0.974449,2025-07-25 09:47:00,9,206
"229","DW1",24.693,0.081,0.974737,2025-07-25 09:57:00,9,206
"230","DW1",24.71,0.081,0.975044,2025-07-25 10:07:00,10,206
"231","DW1",24.702,0.081,0.9749,2025-07-25 10:17:00,10,206
"232","DW1",24.685,0.081,0.974593,2025-07-25 10:27:00,10,206
"233","DW1",24.693,0.081,0.974737,2025-07-25 10:37:00,10,206
"234","DW1",24.702,0.081,0.9749,2025-07-25 10:47:00,10,206
"235","DW1",24.719,0.081,0.975206,2025-07-25 10:57:00,10,206
"236","DW1",24.727,0.081,0.975351,2025-07-25 11:07:00,11,206
"237","DW1",24.735,0.081,0.975495,2025-07-25 11:17:00,11,206
"238","DW1",24.71,0.081,0.975044,2025-07-25 11:27:00,11,206
"239","DW1",24.719,0.081,0.975206,2025-07-25 11:37:00,11,206
"240","DW1",24.735,0.081,0.975495,2025-07-25 11:47:00,11,206
"241","DW1",24.761,0.081,0.975964,2025-07-25 11:57:00,11,206
"242","DW1",24.744,0.081,0.975657,2025-07-25 12:07:00,12,206
"243","DW1",24.761,0.081,0.975964,2025-07-25 12:17:00,12,206
"244","DW1",24.761,0.081,0.975964,2025-07-25 12:27:00,12,206
"245","DW1",24.769,0.081,0.976108,2025-07-25 12:37:00,12,206
"246","DW1",24.786,0.081,0.976415,2025-07-25 12:47:00,12,206
"247","DW1",24.777,0.081,0.976253,2025-07-25 12:57:00,12,206
"248","DW1",24.803,0.081,0.976722,2025-07-25 13:07:00,13,206
"249","DW1",24.794,0.081,0.97656,2025-07-25 13:17:00,13,206
"250","DW1",24.803,0.081,0.976722,2025-07-25 13:27:00,13,206
"251","DW1",24.82,0.081,0.977029,2025-07-25 13:37:00,13,206
"252","DW1",24.82,0.081,0.977029,2025-07-25 13:47:00,13,206
"253","DW1",24.82,0.081,0.977029,2025-07-25 13:57:00,13,206
"254","DW1",24.836,0.081,0.977317,2025-07-25 14:07:00,14,206
"255","DW1",24.853,0.08,0.965555,2025-07-25 14:17:00,14,206
"256","DW1",24.845,0.081,0.97748,2025-07-25 14:27:00,14,206
"257","DW1",24.862,0.081,0.977787,2025-07-25 14:37:00,14,206
"258","DW1",24.87,0.081,0.977931,2025-07-25 14:47:00,14,206
"259","DW1",24.887,0.08,0.966161,2025-07-25 14:57:00,14,206
"260","DW1",24.878,0.081,0.978076,2025-07-25 15:07:00,15,206
"261","DW1",24.878,0.081,0.978076,2025-07-25 15:17:00,15,206
"262","DW1",24.87,0.081,0.977931,2025-07-25 15:27:00,15,206
"263","DW1",24.92,0.081,0.978834,2025-07-25 15:37:00,15,206
"264","DW1",24.92,0.08,0.966749,2025-07-25 15:47:00,15,206
"265","DW1",24.946,0.081,0.979303,2025-07-25 15:57:00,15,206
"266","DW1",24.937,0.081,0.979141,2025-07-25 16:07:00,16,206
"267","DW1",24.946,0.081,0.979303,2025-07-25 16:17:00,16,206
"268","DW1",24.946,0.08,0.967213,2025-07-25 16:27:00,16,206
"269","DW1",24.954,0.08,0.967356,2025-07-25 16:37:00,16,206
"270","DW1",24.963,0.081,0.97961,2025-07-25 16:47:00,16,206
"271","DW1",24.971,0.08,0.967659,2025-07-25 16:57:00,16,206
"272","DW1",25.005,0.08,0.968265,2025-07-25 17:07:00,17,206
"273","DW1",25.005,0.08,0.968265,2025-07-25 17:17:00,17,206
"274","DW1",25.013,0.08,0.968408,2025-07-25 17:27:00,17,206
"275","DW1",25.021,0.08,0.968551,2025-07-25 17:37:00,17,206
"276","DW1",25.038,0.08,0.968854,2025-07-25 17:47:00,17,206
"277","DW1",25.03,0.081,0.98082,2025-07-25 17:57:00,17,206
"278","DW1",25.072,0.08,0.969461,2025-07-25 18:07:00,18,206
"279","DW1",25.047,0.08,0.969015,2025-07-25 18:17:00,18,206
"280","DW1",25.055,0.08,0.969157,2025-07-25 18:27:00,18,206
"281","DW1",25.08,0.08,0.969603,2025-07-25 18:37:00,18,206
"282","DW1",25.072,0.08,0.969461,2025-07-25 18:47:00,18,206
"283","DW1",25.106,0.08,0.970067,2025-07-25 18:57:00,18,206
"284","DW1",25.122,0.08,0.970353,2025-07-25 19:07:00,19,206
"285","DW1",25.114,0.08,0.97021,2025-07-25 19:17:00,19,206
"286","DW1",25.139,0.08,0.970656,2025-07-25 19:27:00,19,206
"287","DW1",25.122,0.08,0.970353,2025-07-25 19:37:00,19,206
"288","DW1",25.122,0.08,0.970353,2025-07-25 19:47:00,19,206
"289","DW1",25.148,0.08,0.970817,2025-07-25 19:57:00,19,206
"290","DW1",25.165,0.08,0.97112,2025-07-25 20:07:00,20,206
"291","DW1",25.148,0.08,0.970817,2025-07-25 20:17:00,20,206
"292","DW1",25.156,0.08,0.97096,2025-07-25 20:27:00,20,206
"293","DW1",25.181,0.08,0.971406,2025-07-25 20:37:00,20,206
"294","DW1",25.173,0.08,0.971263,2025-07-25 20:47:00,20,206
"295","DW1",25.19,0.08,0.971567,2025-07-25 20:57:00,20,206
"296","DW1",25.173,0.08,0.971263,2025-07-25 21:07:00,21,206
"297","DW1",25.19,0.08,0.971567,2025-07-25 21:17:00,21,206
"298","DW1",25.207,0.08,0.97187,2025-07-25 21:27:00,21,206
"299","DW1",25.207,0.08,0.97187,2025-07-25 21:37:00,21,206
"300","DW1",25.215,0.079,0.959863,2025-07-25 21:47:00,21,206
"301","DW1",25.223,0.08,0.972156,2025-07-25 21:57:00,21,206
"302","DW1",25.215,0.079,0.959863,2025-07-25 22:07:00,22,206
"303","DW1",25.232,0.08,0.972317,2025-07-25 22:17:00,22,206
"304","DW1",25.24,0.08,0.972459,2025-07-25 22:27:00,22,206
"305","DW1",25.24,0.08,0.972459,2025-07-25 22:37:00,22,206
"306","DW1",25.266,0.079,0.960762,2025-07-25 22:47:00,22,206
"307","DW1",25.249,0.08,0.97262,2025-07-25 22:57:00,22,206
"308","DW1",25.266,0.079,0.960762,2025-07-25 23:07:00,23,206
"309","DW1",25.257,0.079,0.960603,2025-07-25 23:17:00,23,206
"310","DW1",25.257,0.08,0.972763,2025-07-25 23:27:00,23,206
"311","DW1",25.274,0.079,0.960903,2025-07-25 23:37:00,23,206
"312","DW1",25.266,0.079,0.960762,2025-07-25 23:47:00,23,206
"313","DW1",25.291,0.08,0.97337,2025-07-25 23:57:00,23,206
"314","DW1",25.282,0.08,0.973209,2025-07-26 00:07:00,0,207
"315","DW1",25.299,0.079,0.961344,2025-07-26 00:17:00,0,207
"316","DW1",25.282,0.08,0.973209,2025-07-26 00:27:00,0,207
"317","DW1",25.316,0.079,0.961644,2025-07-26 00:37:00,0,207
"318","DW1",25.282,0.079,0.961044,2025-07-26 00:47:00,0,207
"319","DW1",25.325,0.079,0.961803,2025-07-26 00:57:00,0,207
"320","DW1",25.316,0.079,0.961644,2025-07-26 01:07:00,1,207
"321","DW1",25.316,0.079,0.961644,2025-07-26 01:17:00,1,207
"322","DW1",25.325,0.079,0.961803,2025-07-26 01:27:00,1,207
"323","DW1",25.308,0.08,0.973674,2025-07-26 01:37:00,1,207
"324","DW1",25.308,0.08,0.973674,2025-07-26 01:47:00,1,207
"325","DW1",25.308,0.079,0.961503,2025-07-26 01:57:00,1,207
"326","DW1",25.299,0.079,0.961344,2025-07-26 02:07:00,2,207
"327","DW1",25.308,0.079,0.961503,2025-07-26 02:17:00,2,207
"328","DW1",25.316,0.079,0.961644,2025-07-26 02:27:00,2,207
"329","DW1",25.308,0.08,0.973674,2025-07-26 02:37:00,2,207
"330","DW1",25.325,0.079,0.961803,2025-07-26 02:47:00,2,207
"331","DW1",25.308,0.079,0.961503,2025-07-26 02:57:00,2,207
"332","DW1",25.316,0.079,0.961644,2025-07-26 03:07:00,3,207
"333","DW1",25.308,0.079,0.961503,2025-07-26 03:17:00,3,207
"334","DW1",25.299,0.08,0.973513,2025-07-26 03:27:00,3,207
"335","DW1",25.282,0.08,0.973209,2025-07-26 03:37:00,3,207
"336","DW1",25.282,0.08,0.973209,2025-07-26 03:47:00,3,207
"337","DW1",25.282,0.08,0.973209,2025-07-26 03:57:00,3,207
"338","DW1",25.24,0.08,0.972459,2025-07-26 04:07:00,4,207
"339","DW1",25.24,0.08,0.972459,2025-07-26 04:17:00,4,207
"340","DW1",25.24,0.08,0.972459,2025-07-26 04:27:00,4,207
"341","DW1",25.181,0.08,0.971406,2025-07-26 04:37:00,4,207
"342","DW1",25.207,0.08,0.97187,2025-07-26 04:47:00,4,207
"343","DW1",25.19,0.08,0.971567,2025-07-26 04:57:00,4,207
"344","DW1",25.148,0.08,0.970817,2025-07-26 05:07:00,5,207
"345","DW1",25.131,0.08,0.970514,2025-07-26 05:17:00,5,207
"346","DW1",25.122,0.08,0.970353,2025-07-26 05:27:00,5,207
"347","DW1",25.106,0.08,0.970067,2025-07-26 05:37:00,5,207
"348","DW1",25.097,0.08,0.969907,2025-07-26 05:47:00,5,207
"349","DW1",25.055,0.081,0.981272,2025-07-26 05:57:00,5,207
"350","DW1",25.047,0.081,0.981127,2025-07-26 06:07:00,6,207
"351","DW1",25.021,0.081,0.980658,2025-07-26 06:17:00,6,207
"352","DW1",25.005,0.081,0.980369,2025-07-26 06:27:00,6,207
"353","DW1",24.988,0.081,0.980062,2025-07-26 06:37:00,6,207
"354","DW1",24.971,0.08,0.967659,2025-07-26 06:47:00,6,207
"355","DW1",24.946,0.081,0.979303,2025-07-26 06:57:00,6,207
"356","DW1",24.937,0.081,0.979141,2025-07-26 07:07:00,7,207
"357","DW1",24.92,0.081,0.978834,2025-07-26 07:17:00,7,207
"358","DW1",24.887,0.081,0.978238,2025-07-26 07:27:00,7,207
"359","DW1",24.87,0.081,0.977931,2025-07-26 07:37:00,7,207
"360","DW1",24.87,0.081,0.977931,2025-07-26 07:47:00,7,207
"361","DW1",24.853,0.081,0.977624,2025-07-26 07:57:00,7,207
"362","DW1",24.853,0.081,0.977624,2025-07-26 08:07:00,8,207
"363","DW1",24.82,0.081,0.977029,2025-07-26 08:17:00,8,207
"364","DW1",24.803,0.081,0.976722,2025-07-26 08:27:00,8,207
"365","DW1",24.761,0.082,0.988013,2025-07-26 08:37:00,8,207
"366","DW1",24.777,0.081,0.976253,2025-07-26 08:47:00,8,207
"367","DW1",24.752,0.081,0.975802,2025-07-26 08:57:00,8,207
"368","DW1",24.752,0.081,0.975802,2025-07-26 09:07:00,9,207
"369","DW1",24.727,0.081,0.975351,2025-07-26 09:17:00,9,207
"370","DW1",24.719,0.081,0.975206,2025-07-26 09:27:00,9,207
"371","DW1",24.719,0.082,0.987246,2025-07-26 09:37:00,9,207
"372","DW1",24.71,0.081,0.975044,2025-07-26 09:47:00,9,207
"373","DW1",24.719,0.082,0.987246,2025-07-26 09:57:00,9,207
"374","DW1",24.727,0.081,0.975351,2025-07-26 10:07:00,10,207
"375","DW1",24.719,0.081,0.975206,2025-07-26 10:17:00,10,207
"376","DW1",24.719,0.081,0.975206,2025-07-26 10:27:00,10,207
"377","DW1",24.727,0.081,0.975351,2025-07-26 10:37:00,10,207
