Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Turionifera1,Turionifera2,Turionifera3,,,Duckweed_Notes,,,,,Notes
23-Aug,28-Aug,simplelong27_095_rev_1,27,0.95,6,12,9,12,,,,,,,,,,,,,,
30-Aug,04-Sep,simplelong15_000_1,15,0,1,12,3,9,,,,,,,,,,,,,,
30-Aug,04-Sep,simplelong15_060_1,15,0.6,3,4,11,3,,,,,,,,,,,,,,
30-Aug,04-Sep,simplelong3_090_1,15,0.9,5,10,7,6,,,,,,,,,,,,,,
30-Aug,04-Sep,simplelong4_090_1,15,0.9,6,6,7,4,,,,,,,,,,,,,,
06-Sep,11-Sep,simplelong15_000_2,15,0,1,8,4,6,,,,,,,,,,,,,,
06-Sep,11-Sep,simplelong15_060_2,15,0.6,3,3,7,8,,,,,,,,,,,,,,
06-Sep,11-Sep,simplelong15_095_2,15,0.95,5,13,9,25,,,,,,,,,,,,,,
06-Sep,11-Sep,simplelong15_095_rev_2,15,0.95,6,7,11,10,,,,,,,,,,,,,,
13-Sep,18-Sep,simplelong15_095_rev_2,15,0.95,1,3,8,7,,,,,,,,,,,,,,
13-Sep,18-Sep,simplelong15_095_2,15,0.95,3,17,11,14,,,,,,,,,,,,,,
13-Sep,18-Sep,simplelong15_060_2,15,0.6,5,9,6,19,,,,,,,,,,,,,,
13-Sep,18-Sep,simplelong15_000_2,15,0,6,8,23,12,,,,,,,,,,,,,,
20-Sep,25-Sep,simplelong11_090_rev_1,11,0.9,1,4,3,3,,,,,,,,,,,,,,
20-Sep,25-Sep,simplelong11_090_1,11,0.9,3,4,6,0,,,,,,,,,,,,,,
20-Sep,25-Sep,simplelong11_060_1,11,0.6,5,8,5,4,,,,,,,,,,,,,,
20-Sep,25-Sep,simplelong11_000_1,11,0,6,10,11,2,,,,,,,,,,,,,,incubator not working properly
27-Sep,02-Oct,simplelong15_095_rev_3,15,0.95,1,15,4,14,,,,,,,,,,,,,,
27-Sep,02-Oct,simplelong15_095_3,15,0.95,3,7,8,16,,,,,,,,,,,,,,
27-Sep,02-Oct,simplelong15_060_3,15,0.6,5,7,4,12,,,,,,,,,,,,,,
27-Sep,02-Oct,simplelong15_000_3,15,0,6,4,4,5,,,,,,,,,,,,,,
04-Oct,09-Oct,simplelong15_095_4,15,0.95,1,5,5,8,,,,,,,,,,,,,,
04-Oct,09-Oct,simplelong15_095_4,15,0.95,3,8,8,0,,,,,,,,,,,,,,one adult aphid had wings
04-Oct,09-Oct,simplelong15_060_4,15,0.6,5,4,9,8,,,,,,,,,,,,,,
04-Oct,09-Oct,simplelong15_000_4,15,0,6,5,2,6,,,,,,,,,,,,,,
11-Oct,16-Oct,simplelong15_000_5,15,0,1,4,3,3,,,,,,,,,,,,,,
11-Oct,16-Oct,simplelong15_060_5,15,0.6,3,4,8,7,,,,,,,,,,,,,,
11-Oct,16-Oct,simplelong15_095_5,15,0.95,5,10,11,13,,,,,,,,,,,,,,
11-Oct,16-Oct,simplelong15_095_rev.5,15,0.95,6,5,15,4,,,,,,,,,,,,,,
18-Oct,23-Oct,simplelong27_095_rev_2,27,0.95,1,12,14,10,,,,,,,,,,,,,,
18-Oct,23-Oct,simplelong27_095_2,27,0.95,3,14,11,11,,,,,,,,,,,,,,
18-Oct,23-Oct,simplelong27_060_2,27,0.6,5,17,5,14,,,,,,,,,,,,,,
18-Oct,23-Oct,simplelong27_000_2,27,0,6,20,12,24,,,,,,,,,,,,,,
25-Oct,30-Oct,simplelong27_095_rev_3,27,0.95,1,15,10,9,,,,,,,,,,,,,,
25-Oct,30-Oct,simplelong27_095_3,27,0.95,3,3,0,0,,,,,,,,,,,,,,
25-Oct,30-Oct,simplelong27_060_3,27,0.6,5,13,13,12,,,,,,,,,,,,,,
25-Oct,30-Oct,simplelong27_000_3,27,0,6,27,26,21,,,,,,,,,,,,,,
01-Nov,06-Nov,simplelong27_000_4,27,0,1,12,13,14,,,,,,,,,,,,,,All incubators stopped recording temperatures for a short period on Nov. 1
01-Nov,06-Nov,simplelong27_060_4,27,0.6,3,0,0,1,,,,,,,,,,,,,,
01-Nov,06-Nov,simplelong27_095_4,27,0.95,5,1,2,7,,,,,,,,,,,,,,
01-Nov,06-Nov,simplelong27_095_rev_4,27,0.95,6,11,23,17,,,,,,,,,,,,,,one adult aphid had wings
08-Nov,13-Nov,simplelong27_095_rev_4,27,0.95,1,12,9,19,,,,,,,,,,,,,,all incubators had a connection issue to the computer 
08-Nov,13-Nov,simplelong27_095_4,27,0.95,3,8,3,5,,,,,,,,,,,,,,
08-Nov,13-Nov,simplelong27_060_4,27,0.6,5,24,11,26,,,,,,,,,,,,,,one adult aphid had wings
08-Nov,13-Nov,simplelong27_000_4,27,0,6,25,32,18,,,,,,,,,,,,,,
15-Nov,20-Nov,simplelong27_000_5,27,0,1,12,21,8,,,,,,,,,,,,,,
15-Nov,20-Nov,simplelong27_060_5,27,0.6,3,20,25,79,,,,,,,,,,,,,,
15-Nov,20-Nov,simplelong27_095_5,27,0.95,5,14,20,18,,,,,,,,,,,,,,
15-Nov,20-Nov,simplelong27_095_rev_5,27,0.95,6,31,42,33,,,,,,,,,,,,,,
22-Nov,27-Nov,simplelong27_095_6,27,0.95,1,17,25,22,,,,,,,,,,,,,,experiment run with new code
22-Nov,27-Nov,simplelong27_095_rev_6,27,0.95,3,1,4,7,,,,,,,,,,,,,,
22-Nov,27-Nov,simplelong27_000_6,27,0.6,5,22,18,39,,,,,,,,,,,,,,
22-Nov,27-Nov,simplelong27_060_6,27,0,6,33,26,24,,,,,,,,,,,,,,
29-Nov,04-Dec,simplelong27_000_7,27,0,1,15,7,4,,,,,,,,,,,,,,
29-Nov,04-Dec,simplelong27_060_7,27,0.6,3,11,15,25,,,,,,,,,,,,,,
29-Nov,04-Dec,simplelong27_095_rev_7,27,0.95,5,19,26,18,,,,,,,,,,,,,,
29-Nov,04-Dec,simplelong27_095_7,27,0.95,6,9,26,16,,,,,,,,,,,,,,
06-Dec,11-Dec,simplelong27_000_8,27,0,1,20,23,24,,,,,,,,,,,,,,
06-Dec,11-Dec,simplelong27_060_8,27,0.6,3,21,24,14,,,,,,,,,,,,,,
06-Dec,11-Dec,simplelong27_095_8,27,0.95,5,25,30,8,,,,,,,,,,,,,,
06-Dec,11-Dec,simplelong27_095_rev_8,27,0.95,6,27,32,37,,,,,,,,,,,,,,
13-Dec,18-Dec,simplelong27_095_rev_9,27,0.95,1,10,3,3,,,,,,,,,,,,,,2 adults had wings
13-Dec,18-Dec,simplelong27_095_9,27,0.95,3,9,3,8,,,,,,,,,,,,,,Experiment 22 was ended at 15:30
13-Dec,18-Dec,simplelong27_060_9,27,0.6,5,42,33,45,,,,,,,,,,,,,,
13-Dec,18-Dec,simplelong27_000_9,27,0,6,25,41,49,,,,,,,,,,,,,,
17-Jan,22-Jan,simplelong_27_095_rev_9,27,0.95,1,28,34,27,,,,,,,,,,,,,,protocol data not recorded after 30 minutes. 
17-Jan,22-Jan,simplelong_27_060_9,27,0.6,3,43,27,30,,,,,,,,,,,,,,
17-Jan,22-Jan,simplelong_27_095_9,27,0.95,5,32,26,35,,,,,,,,,,,,,,
17-Jan,22-Jan,simplelong_27_000_9,27,0,6,31,25,25,,,,,,,,,,,,,,
24-Jan,29-Jan,simplelong_27_095_9,27,0.95,1,34,28,29,,,,,,,,,,,,,,protocol data not recorded after 30 minutes of experiment
24-Jan,29-Jan,simplelong_27_095_rev_9,27,0.95,3,36,39,30,,,,,,,,,,,,,,
24-Jan,29-Jan,simplelong_27_060_9,27,0.6,5,43,34,31,,,,,,,,,,,,,,
24-Jan,29-Jan,simplelong_27_000_9,27,0,6,25,24,34,,,,,,,,,,,,,,
31-Jan,05-Feb,simplelong_27_000_9,27,0,1,28,13,30,5,12,8,,,,,,,,,,,Incubator 1 not working properly. Protocol data not following profile. 
31-Jan,05-Feb,simplelong_27_060_9,27,0.6,3,35,18,25,6,7,8,,,,,,,,,,,
31-Jan,05-Feb,simplelong_27_095_9,27,0.95,5,16,12,15,6,8,8,,,,,,,,,,,
31-Jan,05-Feb,simplelong_27_095_rev_9,27,0.95,6,26,23,34,8,8,8,,,,,,,,,,,
07-Feb,12-Feb,simplelong_27_000_9,27,0,3,10,14,18,8,6,8,,,,,,,,,,,extra trial lemna- 10
07-Feb,12-Feb,simplelong_27_095_9,27,0.95,5,9,14,10,6,9,8,,,,,,,,,,,extra trial lemna- 6
07-Feb,12-Feb,simplelong_27_095_rev_9,27,0.95,6,22,20,28,8,8,11,,,,,,,,,,,extra trial lemna-9
14-Feb,19-Feb,simplelong_23_095_rev_3,23,0.95,3,36,34,31,6,6,6,,,,,,,,,,,
14-Feb,19-Feb,simplelong_23_000_3,23,0,5,39,40,42,7,7,6,,,,,,,,,,,
14-Feb,19-Feb,simplelong_23_095_3,23,0.95,6,43,45,41,6,6,6,,,,,,,,,,,
21-Feb,26-Feb,simplelong_23_060_3,23,0.6,3,29,35,33,6,7,6,,,,,,,,,,,
21-Feb,26-Feb,simplelong_23_095_3,23,0.95,5,30,29,35,6,6,5,,,,,,,,,,,
21-Feb,26-Feb,simplelong_23_095_rev_3,23,0.95,6,37,39,43,6,6,6,,,,,,,,,,,
28-Feb,04-Mar,simplelong_23_000_4,23,0,3,48,38,24,6,8,6,,,,,,,,,,,
28-Feb,04-Mar,simplelong_23_095_4,23,0.95,5,30,25,27,6,5,6,,,,,,,,,,,
28-Feb,04-Mar,simplelong_23_095_rev_4,23,0.95,6,40,23,21,5,6,6,,,,,,,,,,,
06-Mar,11-Mar,simplelong_23_060_4,23,0.6,3,24,25,30,4,7,7,,,,,,,,,,,
06-Mar,11-Mar,simplelong_23_095_4,23,0.95,5,21,40,32,7,4,6,,,,,,,,,,,
06-Mar,11-Mar,simplelong_23_095_4,23,0.95,6,31,22,23,6,4,5,,,,,,,,,,,
March 5/2021,March 10/2021,simplelong_19_000_2,19,0,3,32,39,28,,,,,,,,,,,,,,Issue with incubators-- two 20+ hour gaps in temperature profiles for all incubators
March5/2021,March 10/2021,simplelong_19_095_2,19,0.95,5,26,34,23,,,,,,,,,,,,,,
March 5/2021,March 10/2021,simplelong_19_060_2,19,0.6,6,32,35,32,,,,,,,,,,,,,,
March 19/2021,March 24/2021,simplelong_19_000_2,19,0,5,14,16,23,3,1,1,,,,,,,,,,,Issue with incubators-- two 20+ hour gaps in temperature profiles for all incubators
March 19/2021,March 24/2021,simplelong_19_060_2,19,0.6,3,7,9,12,3,1,3,,,,,,,,,,,
March 19/2021,March 24/2021,simplelong_19_095rev_2,19,0.95,6,26,27,28,1,1,,,,,,,,,,,,
April 2/2021,07-Apr-21,constant temperature at 23,23,constant,3,38,44,41,4,4,3,,,,,,,,,,,
April 2/2021,07-Apr-21,constant temperature at 15,15,constant,6,4,0,14,2,2,3,,,,,,,,,,,one adult aphid had wings
April 9/2021,April 14/2021,simplelong27_1,27,constant,3,16,14,14,6,6,7,,,,,,,,,,,
April 9/2021,April 14/2021,simplelong19_1,19,constant,5,30,32,30,2,3,3,,,,,,,,,,,
April 16/2021,April 21/2021,simplelong15_1,15,constant,3,12,12,9,2,3,3,,,,,,,,,,,
April 16/2021,April 21/2021,simplelong23_1,23,constant,5,31,35,31,5,6,6,,,,,,,,,,,
April 16/2021,April 21/2021,simplelong19_1,19,constant,6,20,22,19,3,4,3,,,,,,,,,,,
06-04-2021,June 09/2021,simplelong19_000_2,19,0,3,13,15,8,,,,,,,,,,,,,,Issue with incubators - 20+ hour gaps and computer likely updated
06-04-2021,June 09/2021,simplelong19_095rev_2,19,0.95,5,13,6,5,,,,,,,,,,,,,,
06-04-2021,June 09/2021,simplelong19_095_2,19,0.95,6,27,23,13,,,,,,,,,,,,,,
June 11/2021,June 16/2021,simplelong_19_060_2,19,0.6,3,25,16,24,,,,,,,,,,,,,,Issue with incubators - 20+ hour gaps 
June 11/2021,June 16/2021,simplelong_19_095rev2,19,0.95,5,8,27,29,,,,,,,,,,,,,,
June 11/2021,June 16/2021,simplelong_19_095_2,19,0.95,6,16,8,21,,,,,,,,,,,,,,
July 2/2021,July 7/2021,simplelong_31_1,31,constant,3,1,1,2,,,,,,,,,,,,,,There was a gap with the incubators however held at constant temperature
July 2/2021,July 7/2021,simplelong_31_1,31,constant,5,0,3,1,,,,,,,,,,,,,,
July 2/2021,July 7/2021,simplelong_31_1,31,constant,6,2,0,2,,,,,,,,,,,,,,
July 16/2021,July 21/2021,simplelong_11_1,11,constant,3,5,0,0,5,0,0,,,,,,"All duckweed counts are total fronds even if they are associated with a colony. Starting number was 2 colonies, 2 fronds each; 4 fronds total",,,,,
July 16/2021,July 21/2021,simplelong_15_1,15,constant,5,8,14,11,6,4,4,,,,,,,,,,,
July 16/2021,July 21/2021,simplelong_31_1,31,constant,6,4,3,4,10,9,8,,,,,,"Duckweed counts consisted of multiple colonies and some singles. Rep1: 2 colonies, 1 w 6 fronds, 1 w 4 fronds, 2 roots each. Rep2: 3 colonies, 1 w 2 fronds, 1 w 4 fronds, 1 w 3 fronds, 2 roots each. Rep3: 2 colonies, 1 w 5 fronds, 1 w 2 fronds, 1 single frond.",,,,,"1 dead aphid on plant 2, not counted in total"
July 23/2021,July 28/2021,simplelong31_1,31,constant,3,0,0,0,,,,,,,,,,,,,,one adult aphid had wings 
July 23/2021,July 28/2021,simplelong11_1,11,constant,5,0,0,1,,,,,,,,,,,,,,
July 23/2021,July 28/2021,simplelong15_1,15,constant,6,6,4,0,,,,,,,,,,,,,,
August 13/2021,August 18/2021,simplelong15_1,15,constant,3,17,21,6,7,6,6,,,,,,,,,,,one adult had wings
August 13/2021,August 18/2021,simplelong11_1,11,constant,5,15,19,19,6,7,5,,,,,,,,,,,
August 13/2021,August 18/2021,simplelong31_1,31,constant,6,24,22,26,8,8,8,,,,,,,,,,,Computer tuned off and all incubators were at 20C
August 20/21,August 25/21,simplelong31_1,31,constant,3,0,0,0,10,12,12,,,,,,10(2col),12(6col),12(4col),,,"Celsius frozen, protocol data not recorded after ~50h. It appears as though the incubators remained at the programmed temperatures throughout. "
August 21/21,August 26/21,simplelong15_1,15,constant,5,18,7,8,5,4,5,,,,,,5(2col),4(2col),5(2col),,,
August 22/21,August 27/21,simplelong11_1,11,constant,6,10,8,5,4,4,4,,,,,,4(2col),4(2col),4(2col),,,
September 3/21,September 8/21,simplelong15_1,15,constant,3,13,19,19,,,,,,,,,,,,,,"error: unknown IP address, no connection made because the target machine actively refused it "
September 3/21,September 8/21,simplelong11_1,11,constant,5,4,1,1,,,,,,,,,,,,,,
September 3/21,September 8/21,simplelong31_1,31,constant,6,2,1,0,,,,,,,,,,,,,,
September 10/21,September 15/2021,simplelong11_1,11,constant,3,8,6,0,4,4,6,,,,,,4(2col),4(2col),6(2col),,,"error: celsius not running due to windows taking updates @24h, incubators at 20c"
September 10/21,September 15/2021,simplelong31_1,31,constant,5,0,0,1,10,12,10,,,,,,10(4col),12(4col),10(4col),,,
September 10/21,September 15/2021,simplelong15_1,15,constant,6,10,0,12,2,5,5,,,,,,2(2col),5(2col),5(3col),,,one adult had wings
September 17/2021,September 22/2021,simplelong15_1,15,constant,3,,,,6,5,5,,,,,,6(2col),5(2col),5(2col),,,
September 17/2021,September 22/2021,simplelong11_1,11,constant,5,,,,4,5,4,,,,,,4(2col),5(2col),4(2col),,,
September 17/2021,September 22/2021,simplelong31_1,31,constant,6,,,,13,12,13,,,,,,13(6col),12(6col),13(5col),,,
September 24/2021,September 29/2021,simplelong31_1,31,constant,3,1,1,0,10,10,13,,,,,,10(3col),10(4col),13(4col),,,one adult had wings
September 24/2021,September 29/2021,simplelong15_1,15,constant,5,0,10,10,4,5,4,,,,,,4(2col),5(2col),4(2col),,,one adult had wings
September 24/2021,September 29/2021,simplelong11_1,11,constant,6,6,0,0,5,4,5,,,,,,5(3col),4(2col),5(2col),,,
October 8/2021,October 13/2021,simplelong15_000_6,15,0,5,15,24,12,3,3,2,,,,,,,,,,,"error: unknown IP address, no connection made because the target machine actively refused it"
October 8/2021,October 13/2021,simplelong15_060_6,15,0.6,3,11,3,0,3,2,4,,,,,,,,,,,incubators cut out for a 9 hour period on oct 11
October 8/2021,October 13/2021,simplelong15_095_6,15,0.95,6,0,1,11,3,3,2,,,,,,,,,,,
October 22/2021,october 27/2021,simplelong15_095rev_06,15,0.95,1,7,9,15,5,7,8,,,,,,,,,,,34 hour gap in incubators
October 22/2021,october 27/2021,simplelong20_1,20,constant,2,,,,8,9,9,,,,,,,,,,,
October 22/2021,october 27/2021,simplelong_15_000_06,15,0,3,17,13,11,8,8,5,,,,,,,,,,,
October 22/2021,october 27/2021,simplelong23_1,23,constant,4,total 78,,,10,10,9,,,,,,,,,,,
October 22/2021,october 27/2021,simplelong15_060_06,15,0.6,5,9,14,15,7,7,7,,,,,,,,,,,
October 22/2021,october 27/2021,simplelong15_095_6,15,0.95,6,5,3,4,8,5,6,,,,,,,,,,,
October 29/2021,November 3/2021,Manual,20,constant,1,,,,12,6,8,,,,,,,,,,,
October 29/2021,November 3/2021,Simplelong30_1,30,constant,2,,,,13,14,15,,,,,,,,,,,
October 29/2021,November 3/2021,Manual,25,constant,3,,,,17,15,15,,,,,,,,,,,
October 29/2021,November 3/2021,Simplelong 35_1,35,constant,4,,,,10,10,8,,,,,,,,,,,
October 29/2021,November 3/2021,Simplelong 25_1,25,constant,5,,,,10,10,11,,,,,,,,,,,
October 29/2021,November 3/2021,Manual,23,constant,6,,,,10,10,9,,,,,,,,,,,
November 5/2021,November 10/2021,Manual,20,constant,1,18,17,8,7,7,7,,,,,,,,,,,
November 5/2021,November 10/2021,Simplelong 15_095_06,15,0.95,2,5,18,11,8,6,7,,,,,,,,,,,
November 5/2021,November 10/2021,Manual,31,constant,3,0,0,0,14,12,11,,,,,,,,,,,
November 5/2021,November 10/2021,Simplelong 15_095rev_06,15,0.95,4,0,3,2,5,6,6,,,,,,,,,,,
November 5/2021,November 10/2021,simplelong 40_1,40,constant,5,NA,NA,NA,0,0,0,,,,,,,,,,,all duckweed dead
November 5/2021,November 10/2021,Manual,23,constant,6,18,23,7,12,10,10,,,,,,,,,,,
November 12/2021,November 17/2021,Manual,20,constant,1,,,,9,7,12,,,,,,,,,,,
November 12/2022,November 17/2021,Manual,39,constant,3,,,,4,3,5,,,,,,,,,,,
November 12/2023,November 17/2021,Manual,23,constant,6,,,,10,11,9,,,,,,,,,,,
November 19/2021,November 24/2021,Manual,20,constant,1,,,,9,8,6,,,,,,,,,,,
November 19/2021,November 24/2021,Simplelong15_095_06,15,0.95,2,12,19,17,4,5,6,,,,,,,,,,,
November 19/2021,November 24/2021,Manual,35,constant,3,,,,10,8,8,,,,,,,,,,,
November 19/2021,November 24/2021,Simplelong15_060_6,15,0.6,4,14,13,12,14,13,12,,,,,,,,,,,
November 19/2021,November 24/2021,Simplelong15_000_06,15,0,5,15,12,8,7,5,6,,,,,,,,,,,
November 19/2021,November 24/2021,Manual,25,constant,6,,,,11,11,11,,,,,,,,,,,
November 26/2021,December 1/2021,Manual,20,constant,1,,,,9,8,9,,,,,,,,,,,
November 26/2021,December 1/2021,Manual,20,constant,3,,,,10,9,9,,,,,,,,,,,
November 26/2021,December 1/2021,Manual,25,constant,6,,,,10,13,10,,,,,,,,,,,
December 3/2021,December 8/2021,Manual,20,constant,1,,,,9,9,7,9,10,9,,,,,,,,
December 3/2021,December 8/2021,Simplelong27_000_2,27,0,2,1,1,0,10,11,13,,,,,,,,,,,
December 3/2021,December 8/2021,Manual,25,constant,3,,,,14,12,12,10,11,8,,,,,,,,
December 3/2021,December 8/2021,Simplelong27_000_3,27,0,4,18,12,18,14,10,10,,,,,,,,,,,
December 3/2021,December 8/2021,Simplelong27_000_4,27,0,5,7,15,10,12,10,10,,,,,,,,,,,
December 3/2021,December 8/2021,Manual,35,constant,6,,,,12,10,10,11,11,8,,,,,,,,
December 10/2021,December 15/2021,Simplelong20_2,20,constant,1,,,,7,10,11,,,,,,,,,,,
December 10/2021,December 15/2021,Simplelong23_1,23,constant,2,,,,10,11,12,6,8,6,,,,,,,,
December 10/2021,December 15/2021,Simplelong35_1,35,constant,3,,,,8,11,9,7,7,6,,,,,,,,
December 10/2021,December 15/2021,Simplelong39_1,39,constant,4,,,,4,3,4,1,4,1,,,,,,,,
December 10/2021,December 15/2021,Simplelong27_000_5,27,0,5,6,8,10,11,11,13,,,,,,,,,,,
December 10/2021,December 15/2021,Simplelong27_000_6,27,0,6,1,4,0,11,13,13,,,,,,,,,,,
December 17/2021,December 22/2021,Simplelong20_2,20,constant,1,x,x,x,6,5,7,,,,,,,,,,,
December 17/2021,December 22/2021,Simplelong25_1,25,constant,2,,,,6,8,6,6,4,6,,,,,,,,
December 17/2021,December 22/2021,Simplelong39_1,39,constant,3,,,,5,4,5,4,4,4,,,,,,,,
December 17/2021,December 22/2021,Simplelong27_000_7,27,0,4,20,10,7,12,12,12,,,,,,,,,,,
December 17/2021,December 22/2021,Simplelong27_000_8,27,0,5,8,4,12,8,12,14,,,,,,,,,,,
December 17/2021,December 22/2021,Simplelong27_000_9,27,0,6,20,6,7,11,11,12,,,,,,,,,,,
January 14/2022, January 19/2022, Simplelong20_2,20,constant,1,,,,9,9,8,,,,,,,,,,,
January 14/2022, January 19/2022, Simplelong35_1,35,constant,2,,,,9,11,10,,,,,,,,,,,
January 14/2022, January 19/2022, Simplelong40_1,40,constant,3,,,,4,0,4,,,,,,,,,,,
January 14/2022, January 19/2022, Simplelong27_000_10,27,0,4,4,5,6,14,11,11,,,,,,,,,,,
January 14/2022, January 19/2022, Simplelong27_000_11,27,0,5,4,4,0,14,12,11,,,,,,,,,,,
January 14/2022, January 19/2022, Simplelong27_000_12,27,0,6,6,6,4,12,12,13,,,,,,,,,,,
January 21/2022, January 26/2022, Simplelong20_2,20,constant,1,,,,9,9,9,,,,,,,,,,,
January 21/2022, January 26/2022, Simplelong35_1,35,constant,2,,,,7,6,7,,,,,,,,,,,
January 21/2022, January 26/2022, Simplelong40_1,40,constant,3,,,,0,0,2,,,,,,,,,,,
January 21/2022, January 26/2022, Simplelong27_000_13,27,0,4,1,0,2,10,11,12,,,,,,,,,,,
January 21/2022, January 26/2022, Simplelong27_000_14,27,0,5,0,0,4,9,9,10,,,,,,,,,,,
January 21/2022, January 26/2022, Simplelong27_000_15,27,0,6,7,6,7,12,10,10,,,,,,,,,,,
January 28/2022, February 2/2022, Simplelong20_2,20,constant,1,,,,11,15,9,,,,,,,,,,,
January 28/2022, February 2/2022, Simplelong40_1,40,constant,2,,,,0,0,0,,,,,,,,,,,
January 28/2022, February 2/2022, Simplelong40_1,40,constant,3,,,,0,0,0,,,,,,,,,,,
January 28/2022, February 2/2022, Simplelong27_095_1,27,0,4,,,,,,,,,,,,,,,,,contaminated
January 28/2022, February 2/2022, Simplelong27_000_16,27,0,5,18,18,9,8,8,8,,,,,,,,,,,
January 28/2022, February 2/2022, Simplelong27_000_17,27,0,6,33,10,33,,,,,,,,,,,,,,contaminated
February 4/2022,February 9/2022,Simplelong27_095_2,27,0.95,2,,,,10,9,11,,,,,,,,,,,
February 4/2022,February 9/2022,Simplelong27_095rev_2,27,0.95,3,,,,11,13,13,,,,,,,,,,,
February 4/2022,February 9/2022,Simplelong27_095_3,27,0.95,4,,,,12,12,12,,,,,,,,,,,
February 4/2022,February 9/2022,Simplelong27_095rev_3,27,0.95,5,9,8,10,12,11,10,,,,,,,,,,,
February 4/2022,February 9/2022,Simplelong27_095rev_4,27,0.95,6,17,31,20,12,12,10,,,,,,,,,,,
February 11/2022,February 16/2022,Simplelong27_000_18,27,0,2,,,,7,8,7,,,,,,,,,,,
February 11/2022,February 16/2022,Simplelong27_095_5,27,0.95,3,,,,7,8,7,,,,,,,,,,,
February 11/2022,February 16/2022,Simplelong27_095rev_5,27,0.95,4,3,9,6,6,6,6,,,,,,,,,,,
February 11/2022,February 16/2022,Simplelong27_000_19,27,0,5,13,14,12,9,10,12,,,,,,,,,,,
February 11/2022,February 16/2022,Simplelong27_095_6,27,0.95,6,12,19,8,6,7,9,,,,,,,,,,,
February 18/2022,February 23/2022,Simplelong27_095_7,27,0.95,2,,,,8,5,5,contamination,,,,,,,,,,
February 18/2022,February 23/2022,Simplelong27_095rev_7,27,0.95,3,2,3,1,7,6,5,contamination,,,,,,,,,,
February 18/2022,February 23/2022,Simplelong27_095_8,27,0.95,4,17,11,6,6,6,5,"contamination, 1 winged aphid",,,,,,,,,,
February 18/2022,February 23/2022,Simplelong27_095rev_8,27,0.95,5,13,14,1,7,5,7,contamination,,,,,,,,,,
February 18/2022,February 23/2022,Simplelong27_000_20,27,0,6,,,,7,5,6,contamination,,,,,,,,,,
February 25/2022,March 02/2022,Simplelong27_000_21,27,0,2,,,,12,11,16,,,,,,,,,,,
February 25/2022,March 02/2022,Simplelong27_095_9,27,0.95,3,,,,11,15,13,,,,,,,,,,,
February 25/2022,March 02/2022,Simplelong27_095rev_9,27,0.95,4,15,8,18,13,12,11,,,,,,,,,,,
February 25/2022,March 02/2022,Simplelong27_095_10,27,0.95,5,10,12,19,14,15,12,,,,,,,,,,,
February 25/2022,March 02/2022,Simplelong27_095rev_10,27,0.95,6,18,25,21,11,11,15,,,,,,,,,,,
