label,start_date,end_date,treatment,initial_area,final_area,biomass,mean,sd,min,max,remarks,exclusion
exp4-6,5/27/2025,6/6/2025,random,,,0.0621,23.04,4.48,14.03,36.59,final photos not taken (camera issue),
exp4-7,5/27/2025,6/6/2025,ambient,,,0.0469,21.31,4.35,12.74,33.85,final photos not taken (camera issue),
exp4-8,5/27/2025,6/6/2025,ambient,,,0.0598,21.64,4.31,13.25,34.7,final photos not taken (camera issue),
exp4-9,5/27/2025,6/6/2025,ambient,,,0.0464,21.29,4.37,12.82,33.89,final photos not taken (camera issue),
exp5-1,6/10/2025,6/20/2025,nw,2.997,93.579,,25.72,3.1,20.62,32.91,,
exp5-2,6/10/2025,6/20/2025,nw,3.042,64.482,,25.73,2.96,20.9,32.39,,
exp5-3,6/10/2025,6/20/2025,nw,3.639,74.058,,26.15,3.1,21.09,33.33,,
exp5-4,6/10/2025,6/20/2025,random,2.849,68.733,,25.32,4.06,18.62,35.44,,
exp5-5,6/10/2025,6/20/2025,random,3.404,73.543,,25.88,3.87,20.23,35.22,,
exp5-6,6/10/2025,6/20/2025,random,3.317,64.436,,25.66,3.98,19.43,35.26,,
exp5-7,6/10/2025,6/20/2025,ambient,3.525,74.184,,23.98,4.07,18.53,32.77,,
exp5-8,6/10/2025,6/20/2025,ambient,3.348,61.418,,23.86,4.28,17.93,33.93,,
exp5-9,6/10/2025,6/20/2025,ambient,3.417,73.189,,23.83,4.19,18.49,33.03,,
