"Plot Title: 2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Detached (LGR S/N: 10316939)","Host Connected (LGR S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Stopped (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
57,05/04/25 07:58:56  PM,20.329,96.9,,,,,
58,05/04/25 08:58:56  PM,20.615,0.0,,,,,
59,05/04/25 09:58:56  PM,20.710,0.0,,,,,
60,05/04/25 10:58:56  PM,20.615,0.0,,,,,
61,05/04/25 11:58:56  PM,20.519,0.0,,,,,
62,05/05/25 12:58:56  AM,20.710,0.0,,,,,
63,05/05/25 01:58:56  AM,20.805,0.0,,,,,
64,05/05/25 02:58:56  AM,20.805,0.0,,,,,
65,05/05/25 03:58:56  AM,21.473,2238.9,,,,,
66,05/05/25 04:58:56  AM,22.046,2238.9,,,,,
67,05/05/25 05:58:56  AM,22.333,2238.9,,,,,
68,05/05/25 06:58:56  AM,20.710,2411.1,,,,,
69,05/05/25 07:58:56  AM,19.758,2669.5,,,,,
70,05/05/25 08:58:56  AM,19.567,3788.9,,,,,
71,05/05/25 09:58:56  AM,18.616,516.7,,,,,
72,05/05/25 10:58:56  AM,18.521,1980.6,,,,,
73,05/05/25 11:58:56  AM,20.424,6200.0,,,,,
74,05/05/25 12:58:56  PM,21.664,3616.7,,,,,
75,05/05/25 01:58:56  PM,21.855,4994.5,,,,,
76,05/05/25 02:58:56  PM,22.621,4477.8,,,,,
77,05/05/25 03:58:56  PM,23.773,3616.7,,,,,
78,05/05/25 04:58:56  PM,22.908,1033.3,,,,,
79,05/05/25 05:58:56  PM,21.187,387.5,,,,,
80,05/05/25 06:58:56  PM,22.142,236.8,,,,,
81,05/05/25 07:58:56  PM,22.908,21.5,,,,,
82,05/05/25 08:58:56  PM,23.388,0.0,,,,,
83,05/05/25 09:58:56  PM,23.196,0.0,,,,,
84,05/05/25 10:58:56  PM,22.908,0.0,,,,,
85,05/05/25 11:58:56  PM,22.717,0.0,,,,,
86,05/06/25 12:58:56  AM,22.812,0.0,,,,,
87,05/06/25 01:58:56  AM,22.621,0.0,,,,,
88,05/06/25 02:58:56  AM,22.717,0.0,,,,,
89,05/06/25 03:58:56  AM,23.292,2238.9,,,,,
90,05/06/25 04:58:56  AM,23.292,2152.8,,,,,
91,05/06/25 05:58:56  AM,23.004,2152.8,,,,,
92,05/06/25 06:58:56  AM,21.187,2411.1,,,,,
93,05/06/25 07:58:56  AM,20.329,2325.0,,,,,
94,05/06/25 08:58:56  AM,20.805,6544.5,,,,,
95,05/06/25 09:58:56  AM,20.901,2755.6,,,,,
96,05/06/25 10:58:56  AM,20.615,1151.7,,,,,
97,05/06/25 11:58:56  AM,21.569,4133.4,,,,,
98,05/06/25 12:58:56  PM,21.951,2755.6,,,,,
99,05/06/25 01:58:56  PM,22.333,2927.8,,,,,
100,05/06/25 02:58:56  PM,24.641,2755.6,,,,,
101,05/06/25 03:58:56  PM,24.545,4305.6,,,,,
102,05/06/25 04:58:56  PM,24.545,1894.5,,,,,
103,05/06/25 05:58:56  PM,23.581,1894.5,,,,,
104,05/06/25 06:58:56  PM,24.255,1044.1,,,,,
105,05/06/25 07:58:56  PM,24.448,161.5,,,,,
106,05/06/25 08:58:56  PM,24.545,0.0,,,,,
107,05/06/25 09:58:56  PM,24.545,0.0,,,,,
108,05/06/25 10:58:56  PM,24.255,0.0,,,,,
109,05/06/25 11:58:56  PM,23.869,0.0,,,,,
110,05/07/25 12:58:56  AM,23.581,0.0,,,,,
111,05/07/25 01:58:56  AM,23.484,0.0,,,,,
112,05/07/25 02:58:56  AM,23.004,10.8,,,,,
113,05/07/25 03:58:56  AM,23.388,2583.4,,,,,
114,05/07/25 04:58:56  AM,23.484,2583.4,,,,,
115,05/07/25 05:58:56  AM,23.388,2583.4,,,,,
116,05/07/25 06:58:56  AM,20.805,2927.8,,,,,
117,05/07/25 07:58:56  AM,20.234,3961.1,,,,,
118,05/07/25 08:58:56  AM,20.996,4822.3,,,,,
119,05/07/25 09:58:56  AM,22.238,2755.6,,,,,
120,05/07/25 10:58:56  AM,24.641,6544.5,,,,,
121,05/07/25 11:58:56  AM,27.468,5166.7,,,,,
122,05/07/25 12:58:56  PM,29.152,8611.2,,,,,
123,05/07/25 01:58:56  PM,29.752,6200.0,,,,,
124,05/07/25 02:58:56  PM,29.853,1980.6,,,,,
125,05/07/25 03:58:56  PM,28.853,4133.4,,,,,
126,05/07/25 04:58:56  PM,27.665,3272.2,,,,,
127,05/07/25 05:58:56  PM,26.195,1636.1,,,,,
128,05/07/25 06:58:56  PM,26.292,570.5,,,,,
129,05/07/25 07:58:56  PM,25.416,226.0,,,,,
130,05/07/25 08:58:56  PM,23.966,0.0,,,,,
131,05/07/25 09:58:56  PM,22.812,0.0,,,,,
132,05/07/25 10:58:56  PM,21.569,0.0,,,,,
133,05/07/25 11:58:56  PM,20.043,0.0,,,,,
134,05/08/25 12:58:56  AM,19.282,0.0,,,,,
135,05/08/25 01:58:56  AM,18.901,0.0,,,,,
136,05/08/25 02:58:56  AM,18.901,0.0,,,,,
137,05/08/25 03:58:56  AM,19.187,2411.1,,,,,
138,05/08/25 04:58:56  AM,19.282,2411.1,,,,,
139,05/08/25 05:58:56  AM,19.282,2411.1,,,,,
140,05/08/25 06:58:56  AM,16.618,2755.6,,,,,
141,05/08/25 07:58:56  AM,16.141,3444.5,,,,,
142,05/08/25 08:58:56  AM,16.523,4305.6,,,,,
143,05/08/25 09:58:56  AM,16.427,2927.8,,,,,
144,05/08/25 10:58:56  AM,16.903,3100.0,,,,,
145,05/08/25 11:58:56  AM,15.378,1463.9,,,,,
146,05/08/25 12:58:56  PM,19.853,0.0,,,,,
147,05/08/25 01:58:56  PM,20.996,0.0,,,,,
148,05/08/25 02:58:56  PM,21.091,0.0,,,,,
149,05/08/25 03:58:56  PM,21.282,0.0,,,,,
150,05/08/25 04:58:56  PM,21.187,0.0,,,,,
151,05/08/25 05:58:56  PM,21.187,0.0,,,,,
152,05/08/25 06:58:56  PM,21.187,0.0,,,,,
153,05/08/25 07:58:56  PM,21.187,0.0,,,,,
154,05/08/25 08:58:56  PM,21.091,0.0,,,,,
155,05/08/25 09:58:56  PM,20.996,0.0,,,,,
156,05/08/25 10:58:56  PM,21.187,0.0,,,,,
157,05/08/25 11:58:56  PM,21.282,0.0,,,,,
158,05/09/25 12:58:56  AM,21.187,0.0,,,,,
159,05/09/25 01:58:56  AM,20.996,0.0,,,,,
160,05/09/25 02:58:56  AM,20.901,0.0,,,,,
161,05/09/25 03:58:56  AM,20.901,0.0,,,,,
162,05/09/25 04:58:56  AM,20.805,0.0,,,,,
163,05/09/25 05:58:56  AM,20.805,0.0,,,,,
164,05/09/25 06:58:56  AM,20.805,0.0,,,,,
165,05/09/25 07:58:56  AM,20.805,0.0,,,,,
166,05/09/25 08:58:56  AM,20.805,0.0,,,,,
167,05/09/25 09:50:02  AM,,,,Logged,,,
168,05/09/25 09:50:03  AM,,,,,Logged,,
169,05/09/25 09:50:09  AM,,,,,,Logged,Logged
