"Date","Time","Temperature","DateTime","Hour"
"2006-05-24","16:30:00",21.96,"2006-05-24 16:30:00","16:00:00"
"2006-05-24","16:45:00",22.11,"2006-05-24 16:45:00","16:00:00"
"2006-05-24","17:00:00",22.3,"2006-05-24 17:00:00","17:00:00"
"2006-05-24","17:15:00",22.13,"2006-05-24 17:15:00","17:00:00"
"2006-05-24","17:30:00",21.82,"2006-05-24 17:30:00","17:00:00"
"2006-05-24","17:45:00",21.3,"2006-05-24 17:45:00","17:00:00"
"2006-05-24","18:00:00",21.01,"2006-05-24 18:00:00","18:00:00"
"2006-05-24","18:15:00",20.71,"2006-05-24 18:15:00","18:00:00"
"2006-05-24","18:30:00",20.43,"2006-05-24 18:30:00","18:00:00"
"2006-05-24","18:45:00",19.98,"2006-05-24 18:45:00","18:00:00"
"2006-05-24","19:00:00",19.35,"2006-05-24 19:00:00","19:00:00"
"2006-05-24","19:15:00",19.01,"2006-05-24 19:15:00","19:00:00"
"2006-05-24","19:30:00",18.61,"2006-05-24 19:30:00","19:00:00"
"2006-05-24","19:45:00",18.21,"2006-05-24 19:45:00","19:00:00"
"2006-05-24","20:00:00",17.72,"2006-05-24 20:00:00","20:00:00"
"2006-05-24","20:15:00",17.33,"2006-05-24 20:15:00","20:00:00"
"2006-05-24","20:30:00",16.73,"2006-05-24 20:30:00","20:00:00"
"2006-05-24","20:45:00",16.47,"2006-05-24 20:45:00","20:00:00"
"2006-05-24","21:00:00",16.36,"2006-05-24 21:00:00","21:00:00"
"2006-05-24","21:15:00",15.91,"2006-05-24 21:15:00","21:00:00"
"2006-05-24","21:30:00",15.66,"2006-05-24 21:30:00","21:00:00"
"2006-05-24","21:45:00",15.37,"2006-05-24 21:45:00","21:00:00"
"2006-05-24","22:00:00",15.06,"2006-05-24 22:00:00","22:00:00"
"2006-05-24","22:15:00",14.47,"2006-05-24 22:15:00","22:00:00"
"2006-05-24","22:30:00",14.02,"2006-05-24 22:30:00","22:00:00"
"2006-05-24","22:45:00",13.71,"2006-05-24 22:45:00","22:00:00"
"2006-05-24","23:00:00",14.57,"2006-05-24 23:00:00","23:00:00"
"2006-05-24","23:15:00",15.89,"2006-05-24 23:15:00","23:00:00"
"2006-05-24","23:30:00",15.97,"2006-05-24 23:30:00","23:00:00"
"2006-05-24","23:45:00",15.57,"2006-05-24 23:45:00","23:00:00"
"2006-05-24","24:00:00",15.31,"2006-05-25 00:00:00","00:00:00"
"2006-05-25","00:15:00",15.21,"2006-05-25 00:15:00","00:00:00"
"2006-05-25","00:30:00",15.06,"2006-05-25 00:30:00","00:00:00"
"2006-05-25","00:45:00",14.96,"2006-05-25 00:45:00","00:00:00"
"2006-05-25","01:00:00",14.91,"2006-05-25 01:00:00","01:00:00"
"2006-05-25","01:15:00",14.81,"2006-05-25 01:15:00","01:00:00"
"2006-05-25","01:30:00",14.89,"2006-05-25 01:30:00","01:00:00"
"2006-05-25","01:45:00",15.02,"2006-05-25 01:45:00","01:00:00"
"2006-05-25","02:00:00",14.94,"2006-05-25 02:00:00","02:00:00"
"2006-05-25","02:15:00",14.97,"2006-05-25 02:15:00","02:00:00"
"2006-05-25","02:30:00",14.96,"2006-05-25 02:30:00","02:00:00"
"2006-05-25","02:45:00",15.14,"2006-05-25 02:45:00","02:00:00"
"2006-05-25","03:00:00",15.16,"2006-05-25 03:00:00","03:00:00"
"2006-05-25","03:15:00",15.01,"2006-05-25 03:15:00","03:00:00"
"2006-05-25","03:30:00",14.84,"2006-05-25 03:30:00","03:00:00"
"2006-05-25","03:45:00",14.61,"2006-05-25 03:45:00","03:00:00"
"2006-05-25","04:00:00",14.36,"2006-05-25 04:00:00","04:00:00"
"2006-05-25","04:15:00",14.06,"2006-05-25 04:15:00","04:00:00"
"2006-05-25","04:30:00",14,"2006-05-25 04:30:00","04:00:00"
"2006-05-25","04:45:00",13.94,"2006-05-25 04:45:00","04:00:00"
"2006-05-25","05:00:00",13.88,"2006-05-25 05:00:00","05:00:00"
"2006-05-25","05:15:00",14.22,"2006-05-25 05:15:00","05:00:00"
"2006-05-25","05:30:00",14.23,"2006-05-25 05:30:00","05:00:00"
"2006-05-25","05:45:00",14.28,"2006-05-25 05:45:00","05:00:00"
"2006-05-25","06:00:00",14.41,"2006-05-25 06:00:00","06:00:00"
"2006-05-25","06:15:00",15.05,"2006-05-25 06:15:00","06:00:00"
"2006-05-25","06:30:00",15.04,"2006-05-25 06:30:00","06:00:00"
"2006-05-25","06:45:00",14.83,"2006-05-25 06:45:00","06:00:00"
"2006-05-25","07:00:00",14.82,"2006-05-25 07:00:00","07:00:00"
"2006-05-25","07:15:00",14.89,"2006-05-25 07:15:00","07:00:00"
"2006-05-25","07:30:00",15.02,"2006-05-25 07:30:00","07:00:00"
"2006-05-25","07:45:00",15.26,"2006-05-25 07:45:00","07:00:00"
"2006-05-25","08:00:00",15.54,"2006-05-25 08:00:00","08:00:00"
"2006-05-25","08:15:00",15.86,"2006-05-25 08:15:00","08:00:00"
"2006-05-25","08:30:00",15.95,"2006-05-25 08:30:00","08:00:00"
"2006-05-25","08:45:00",15.79,"2006-05-25 08:45:00","08:00:00"
"2006-05-25","09:00:00",15.76,"2006-05-25 09:00:00","09:00:00"
"2006-05-25","09:15:00",15.94,"2006-05-25 09:15:00","09:00:00"
"2006-05-25","09:30:00",16.53,"2006-05-25 09:30:00","09:00:00"
"2006-05-25","09:45:00",17.04,"2006-05-25 09:45:00","09:00:00"
"2006-05-25","10:00:00",17.87,"2006-05-25 10:00:00","10:00:00"
"2006-05-25","10:15:00",18.1,"2006-05-25 10:15:00","10:00:00"
"2006-05-25","10:30:00",18.41,"2006-05-25 10:30:00","10:00:00"
"2006-05-25","10:45:00",18.41,"2006-05-25 10:45:00","10:00:00"
"2006-05-25","11:00:00",18.19,"2006-05-25 11:00:00","11:00:00"
"2006-05-25","11:15:00",18.05,"2006-05-25 11:15:00","11:00:00"
"2006-05-25","11:30:00",18.17,"2006-05-25 11:30:00","11:00:00"
"2006-05-25","11:45:00",18.4,"2006-05-25 11:45:00","11:00:00"
"2006-05-25","12:00:00",18.41,"2006-05-25 12:00:00","12:00:00"
"2006-05-25","12:15:00",18.45,"2006-05-25 12:15:00","12:00:00"
"2006-05-25","12:30:00",18.58,"2006-05-25 12:30:00","12:00:00"
"2006-05-25","12:45:00",18.65,"2006-05-25 12:45:00","12:00:00"
"2006-05-25","13:00:00",19.3,"2006-05-25 13:00:00","13:00:00"
"2006-05-25","13:15:00",20.06,"2006-05-25 13:15:00","13:00:00"
"2006-05-25","13:30:00",20.44,"2006-05-25 13:30:00","13:00:00"
"2006-05-25","13:45:00",20.29,"2006-05-25 13:45:00","13:00:00"
"2006-05-25","14:00:00",20.69,"2006-05-25 14:00:00","14:00:00"
"2006-05-25","14:15:00",21.23,"2006-05-25 14:15:00","14:00:00"
"2006-05-25","14:30:00",21.84,"2006-05-25 14:30:00","14:00:00"
"2006-05-25","14:45:00",22.06,"2006-05-25 14:45:00","14:00:00"
"2006-05-25","15:00:00",22.24,"2006-05-25 15:00:00","15:00:00"
"2006-05-25","15:15:00",22.21,"2006-05-25 15:15:00","15:00:00"
"2006-05-25","15:30:00",22.63,"2006-05-25 15:30:00","15:00:00"
"2006-05-25","15:45:00",23.15,"2006-05-25 15:45:00","15:00:00"
"2006-05-25","16:00:00",23.46,"2006-05-25 16:00:00","16:00:00"
"2006-05-25","16:15:00",23.24,"2006-05-25 16:15:00","16:00:00"
"2006-05-25","16:30:00",23.38,"2006-05-25 16:30:00","16:00:00"
"2006-05-25","16:45:00",23.14,"2006-05-25 16:45:00","16:00:00"
"2006-05-25","17:00:00",23.22,"2006-05-25 17:00:00","17:00:00"
"2006-05-25","17:15:00",22.94,"2006-05-25 17:15:00","17:00:00"
"2006-05-25","17:30:00",22.96,"2006-05-25 17:30:00","17:00:00"
"2006-05-25","17:45:00",22.8,"2006-05-25 17:45:00","17:00:00"
"2006-05-25","18:00:00",22.8,"2006-05-25 18:00:00","18:00:00"
"2006-05-25","18:15:00",22.6,"2006-05-25 18:15:00","18:00:00"
"2006-05-25","18:30:00",22.33,"2006-05-25 18:30:00","18:00:00"
"2006-05-25","18:45:00",22.06,"2006-05-25 18:45:00","18:00:00"
"2006-05-25","19:00:00",21.89,"2006-05-25 19:00:00","19:00:00"
"2006-05-25","19:15:00",21.69,"2006-05-25 19:15:00","19:00:00"
"2006-05-25","19:30:00",21.53,"2006-05-25 19:30:00","19:00:00"
"2006-05-25","19:45:00",21.2,"2006-05-25 19:45:00","19:00:00"
"2006-05-25","20:00:00",20.92,"2006-05-25 20:00:00","20:00:00"
"2006-05-25","20:15:00",20.57,"2006-05-25 20:15:00","20:00:00"
"2006-05-25","20:30:00",20.42,"2006-05-25 20:30:00","20:00:00"
"2006-05-25","20:45:00",20.6,"2006-05-25 20:45:00","20:00:00"
"2006-05-25","21:00:00",20.55,"2006-05-25 21:00:00","21:00:00"
"2006-05-25","21:15:00",20.16,"2006-05-25 21:15:00","21:00:00"
"2006-05-25","21:30:00",19.68,"2006-05-25 21:30:00","21:00:00"
"2006-05-25","21:45:00",19.32,"2006-05-25 21:45:00","21:00:00"
"2006-05-25","22:00:00",18.98,"2006-05-25 22:00:00","22:00:00"
"2006-05-25","22:15:00",18.77,"2006-05-25 22:15:00","22:00:00"
"2006-05-25","22:30:00",18.46,"2006-05-25 22:30:00","22:00:00"
"2006-05-25","22:45:00",18.29,"2006-05-25 22:45:00","22:00:00"
"2006-05-25","23:00:00",18.14,"2006-05-25 23:00:00","23:00:00"
"2006-05-25","23:15:00",17.76,"2006-05-25 23:15:00","23:00:00"
"2006-05-25","23:30:00",17.42,"2006-05-25 23:30:00","23:00:00"
"2006-05-25","23:45:00",17.23,"2006-05-25 23:45:00","23:00:00"
"2006-05-25","24:00:00",17.25,"2006-05-26 00:00:00","00:00:00"
"2006-05-26","00:15:00",17.16,"2006-05-26 00:15:00","00:00:00"
"2006-05-26","00:30:00",17.15,"2006-05-26 00:30:00","00:00:00"
"2006-05-26","00:45:00",17.07,"2006-05-26 00:45:00","00:00:00"
"2006-05-26","01:00:00",16.94,"2006-05-26 01:00:00","01:00:00"
"2006-05-26","01:15:00",16.81,"2006-05-26 01:15:00","01:00:00"
"2006-05-26","01:30:00",16.65,"2006-05-26 01:30:00","01:00:00"
"2006-05-26","01:45:00",16.6,"2006-05-26 01:45:00","01:00:00"
"2006-05-26","02:00:00",16.4,"2006-05-26 02:00:00","02:00:00"
"2006-05-26","02:15:00",16.1,"2006-05-26 02:15:00","02:00:00"
"2006-05-26","02:30:00",15.8,"2006-05-26 02:30:00","02:00:00"
"2006-05-26","02:45:00",15.64,"2006-05-26 02:45:00","02:00:00"
"2006-05-26","03:00:00",15.47,"2006-05-26 03:00:00","03:00:00"
"2006-05-26","03:15:00",15.48,"2006-05-26 03:15:00","03:00:00"
"2006-05-26","03:30:00",15.43,"2006-05-26 03:30:00","03:00:00"
"2006-05-26","03:45:00",15.38,"2006-05-26 03:45:00","03:00:00"
"2006-05-26","04:00:00",15.23,"2006-05-26 04:00:00","04:00:00"
"2006-05-26","04:15:00",15.16,"2006-05-26 04:15:00","04:00:00"
"2006-05-26","04:30:00",15.12,"2006-05-26 04:30:00","04:00:00"
"2006-05-26","04:45:00",15.13,"2006-05-26 04:45:00","04:00:00"
"2006-05-26","05:00:00",15.12,"2006-05-26 05:00:00","05:00:00"
"2006-05-26","05:15:00",15.07,"2006-05-26 05:15:00","05:00:00"
"2006-05-26","05:30:00",15,"2006-05-26 05:30:00","05:00:00"
"2006-05-26","05:45:00",15,"2006-05-26 05:45:00","05:00:00"
"2006-05-26","06:00:00",15,"2006-05-26 06:00:00","06:00:00"
"2006-05-26","06:15:00",15.04,"2006-05-26 06:15:00","06:00:00"
"2006-05-26","06:30:00",15.09,"2006-05-26 06:30:00","06:00:00"
"2006-05-26","06:45:00",15.15,"2006-05-26 06:45:00","06:00:00"
"2006-05-26","07:00:00",15.15,"2006-05-26 07:00:00","07:00:00"
"2006-05-26","07:15:00",15.1,"2006-05-26 07:15:00","07:00:00"
"2006-05-26","07:30:00",15.09,"2006-05-26 07:30:00","07:00:00"
"2006-05-26","07:45:00",15.12,"2006-05-26 07:45:00","07:00:00"
"2006-05-26","08:00:00",15.14,"2006-05-26 08:00:00","08:00:00"
"2006-05-26","08:15:00",15.05,"2006-05-26 08:15:00","08:00:00"
"2006-05-26","08:30:00",15.13,"2006-05-26 08:30:00","08:00:00"
"2006-05-26","08:45:00",15.2,"2006-05-26 08:45:00","08:00:00"
"2006-05-26","09:00:00",15.24,"2006-05-26 09:00:00","09:00:00"
"2006-05-26","09:15:00",15.41,"2006-05-26 09:15:00","09:00:00"
"2006-05-26","09:30:00",15.53,"2006-05-26 09:30:00","09:00:00"
"2006-05-26","09:45:00",15.56,"2006-05-26 09:45:00","09:00:00"
"2006-05-26","10:00:00",15.69,"2006-05-26 10:00:00","10:00:00"
"2006-05-26","10:15:00",15.81,"2006-05-26 10:15:00","10:00:00"
"2006-05-26","10:30:00",15.99,"2006-05-26 10:30:00","10:00:00"
"2006-05-26","10:45:00",16.05,"2006-05-26 10:45:00","10:00:00"
"2006-05-26","11:00:00",16.15,"2006-05-26 11:00:00","11:00:00"
"2006-05-26","11:15:00",16.27,"2006-05-26 11:15:00","11:00:00"
"2006-05-26","11:30:00",16.6,"2006-05-26 11:30:00","11:00:00"
"2006-05-26","11:45:00",16.72,"2006-05-26 11:45:00","11:00:00"
"2006-05-26","12:00:00",16.77,"2006-05-26 12:00:00","12:00:00"
"2006-05-26","12:15:00",16.91,"2006-05-26 12:15:00","12:00:00"
"2006-05-26","12:30:00",17.03,"2006-05-26 12:30:00","12:00:00"
"2006-05-26","12:45:00",17.11,"2006-05-26 12:45:00","12:00:00"
"2006-05-26","13:00:00",17.15,"2006-05-26 13:00:00","13:00:00"
"2006-05-26","13:15:00",17.52,"2006-05-26 13:15:00","13:00:00"
"2006-05-26","13:30:00",17.34,"2006-05-26 13:30:00","13:00:00"
"2006-05-26","13:45:00",17.18,"2006-05-26 13:45:00","13:00:00"
"2006-05-26","14:00:00",17.06,"2006-05-26 14:00:00","14:00:00"
"2006-05-26","14:15:00",17.04,"2006-05-26 14:15:00","14:00:00"
"2006-05-26","14:30:00",17.07,"2006-05-26 14:30:00","14:00:00"
"2006-05-26","14:45:00",17.24,"2006-05-26 14:45:00","14:00:00"
"2006-05-26","15:00:00",17.25,"2006-05-26 15:00:00","15:00:00"
"2006-05-26","15:15:00",17.25,"2006-05-26 15:15:00","15:00:00"
"2006-05-26","15:30:00",17.34,"2006-05-26 15:30:00","15:00:00"
"2006-05-26","15:45:00",17.71,"2006-05-26 15:45:00","15:00:00"
"2006-05-26","16:00:00",17.97,"2006-05-26 16:00:00","16:00:00"
"2006-05-26","16:15:00",18.14,"2006-05-26 16:15:00","16:00:00"
"2006-05-26","16:30:00",18.4,"2006-05-26 16:30:00","16:00:00"
"2006-05-26","16:45:00",18.49,"2006-05-26 16:45:00","16:00:00"
"2006-05-26","17:00:00",18.66,"2006-05-26 17:00:00","17:00:00"
"2006-05-26","17:15:00",18.72,"2006-05-26 17:15:00","17:00:00"
"2006-05-26","17:30:00",18.6,"2006-05-26 17:30:00","17:00:00"
"2006-05-26","17:45:00",18.81,"2006-05-26 17:45:00","17:00:00"
"2006-05-26","18:00:00",18.81,"2006-05-26 18:00:00","18:00:00"
"2006-05-26","18:15:00",18.66,"2006-05-26 18:15:00","18:00:00"
"2006-05-26","18:30:00",18.92,"2006-05-26 18:30:00","18:00:00"
"2006-05-26","18:45:00",18.79,"2006-05-26 18:45:00","18:00:00"
"2006-05-26","19:00:00",18.71,"2006-05-26 19:00:00","19:00:00"
"2006-05-26","19:15:00",18.72,"2006-05-26 19:15:00","19:00:00"
"2006-05-26","19:30:00",18.59,"2006-05-26 19:30:00","19:00:00"
"2006-05-26","19:45:00",18.34,"2006-05-26 19:45:00","19:00:00"
"2006-05-26","20:00:00",18.01,"2006-05-26 20:00:00","20:00:00"
"2006-05-26","20:15:00",17.58,"2006-05-26 20:15:00","20:00:00"
"2006-05-26","20:30:00",17.12,"2006-05-26 20:30:00","20:00:00"
"2006-05-26","20:45:00",16.79,"2006-05-26 20:45:00","20:00:00"
"2006-05-26","21:00:00",16.63,"2006-05-26 21:00:00","21:00:00"
"2006-05-26","21:15:00",16.4,"2006-05-26 21:15:00","21:00:00"
"2006-05-26","21:30:00",16.08,"2006-05-26 21:30:00","21:00:00"
"2006-05-26","21:45:00",15.81,"2006-05-26 21:45:00","21:00:00"
"2006-05-26","22:00:00",15.62,"2006-05-26 22:00:00","22:00:00"
"2006-05-26","22:15:00",15.52,"2006-05-26 22:15:00","22:00:00"
"2006-05-26","22:30:00",15.1,"2006-05-26 22:30:00","22:00:00"
"2006-05-26","22:45:00",14.68,"2006-05-26 22:45:00","22:00:00"
"2006-05-26","23:00:00",14.48,"2006-05-26 23:00:00","23:00:00"
"2006-05-26","23:15:00",14.19,"2006-05-26 23:15:00","23:00:00"
"2006-05-26","23:30:00",14.16,"2006-05-26 23:30:00","23:00:00"
"2006-05-26","23:45:00",14.23,"2006-05-26 23:45:00","23:00:00"
"2006-05-26","24:00:00",14.17,"2006-05-27 00:00:00","00:00:00"
"2006-05-27","00:15:00",14.24,"2006-05-27 00:15:00","00:00:00"
"2006-05-27","00:30:00",14.41,"2006-05-27 00:30:00","00:00:00"
"2006-05-27","00:45:00",14.32,"2006-05-27 00:45:00","00:00:00"
"2006-05-27","01:00:00",14.22,"2006-05-27 01:00:00","01:00:00"
"2006-05-27","01:15:00",14.22,"2006-05-27 01:15:00","01:00:00"
"2006-05-27","01:30:00",14.32,"2006-05-27 01:30:00","01:00:00"
"2006-05-27","01:45:00",14.27,"2006-05-27 01:45:00","01:00:00"
"2006-05-27","02:00:00",13.99,"2006-05-27 02:00:00","02:00:00"
"2006-05-27","02:15:00",13.8,"2006-05-27 02:15:00","02:00:00"
"2006-05-27","02:30:00",13.73,"2006-05-27 02:30:00","02:00:00"
"2006-05-27","02:45:00",13.69,"2006-05-27 02:45:00","02:00:00"
"2006-05-27","03:00:00",13.61,"2006-05-27 03:00:00","03:00:00"
"2006-05-27","03:15:00",13.47,"2006-05-27 03:15:00","03:00:00"
"2006-05-27","03:30:00",13.37,"2006-05-27 03:30:00","03:00:00"
"2006-05-27","03:45:00",13.38,"2006-05-27 03:45:00","03:00:00"
"2006-05-27","04:00:00",13.3,"2006-05-27 04:00:00","04:00:00"
"2006-05-27","04:15:00",13.26,"2006-05-27 04:15:00","04:00:00"
"2006-05-27","04:30:00",12.83,"2006-05-27 04:30:00","04:00:00"
"2006-05-27","04:45:00",12.6,"2006-05-27 04:45:00","04:00:00"
"2006-05-27","05:00:00",12.23,"2006-05-27 05:00:00","05:00:00"
"2006-05-27","05:15:00",12.23,"2006-05-27 05:15:00","05:00:00"
"2006-05-27","05:30:00",12.48,"2006-05-27 05:30:00","05:00:00"
"2006-05-27","05:45:00",12.94,"2006-05-27 05:45:00","05:00:00"
"2006-05-27","06:00:00",13.34,"2006-05-27 06:00:00","06:00:00"
"2006-05-27","06:15:00",13.79,"2006-05-27 06:15:00","06:00:00"
"2006-05-27","06:30:00",14.37,"2006-05-27 06:30:00","06:00:00"
"2006-05-27","06:45:00",14.88,"2006-05-27 06:45:00","06:00:00"
"2006-05-27","07:00:00",15.32,"2006-05-27 07:00:00","07:00:00"
"2006-05-27","07:15:00",15.79,"2006-05-27 07:15:00","07:00:00"
"2006-05-27","07:30:00",16.34,"2006-05-27 07:30:00","07:00:00"
"2006-05-27","07:45:00",16.57,"2006-05-27 07:45:00","07:00:00"
"2006-05-27","08:00:00",16.5,"2006-05-27 08:00:00","08:00:00"
"2006-05-27","08:15:00",16.65,"2006-05-27 08:15:00","08:00:00"
"2006-05-27","08:30:00",16.88,"2006-05-27 08:30:00","08:00:00"
"2006-05-27","08:45:00",17.52,"2006-05-27 08:45:00","08:00:00"
"2006-05-27","09:00:00",18.1,"2006-05-27 09:00:00","09:00:00"
"2006-05-27","09:15:00",18.39,"2006-05-27 09:15:00","09:00:00"
"2006-05-27","09:30:00",19.15,"2006-05-27 09:30:00","09:00:00"
"2006-05-27","09:45:00",19.42,"2006-05-27 09:45:00","09:00:00"
"2006-05-27","10:00:00",19.84,"2006-05-27 10:00:00","10:00:00"
"2006-05-27","10:15:00",20.34,"2006-05-27 10:15:00","10:00:00"
"2006-05-27","10:30:00",20.67,"2006-05-27 10:30:00","10:00:00"
"2006-05-27","10:45:00",20.97,"2006-05-27 10:45:00","10:00:00"
"2006-05-27","11:00:00",21.37,"2006-05-27 11:00:00","11:00:00"
"2006-05-27","11:15:00",21.6,"2006-05-27 11:15:00","11:00:00"
"2006-05-27","11:30:00",21.89,"2006-05-27 11:30:00","11:00:00"
"2006-05-27","11:45:00",22.16,"2006-05-27 11:45:00","11:00:00"
"2006-05-27","12:00:00",22.37,"2006-05-27 12:00:00","12:00:00"
"2006-05-27","12:15:00",22.52,"2006-05-27 12:15:00","12:00:00"
"2006-05-27","12:30:00",22.82,"2006-05-27 12:30:00","12:00:00"
"2006-05-27","12:45:00",22.54,"2006-05-27 12:45:00","12:00:00"
"2006-05-27","13:00:00",22.86,"2006-05-27 13:00:00","13:00:00"
"2006-05-27","13:15:00",23.58,"2006-05-27 13:15:00","13:00:00"
"2006-05-27","13:30:00",23.55,"2006-05-27 13:30:00","13:00:00"
"2006-05-27","13:45:00",23.62,"2006-05-27 13:45:00","13:00:00"
"2006-05-27","14:00:00",23.87,"2006-05-27 14:00:00","14:00:00"
"2006-05-27","14:15:00",24.14,"2006-05-27 14:15:00","14:00:00"
"2006-05-27","14:30:00",24.01,"2006-05-27 14:30:00","14:00:00"
"2006-05-27","14:45:00",23.9,"2006-05-27 14:45:00","14:00:00"
"2006-05-27","15:00:00",24.25,"2006-05-27 15:00:00","15:00:00"
"2006-05-27","15:15:00",24.41,"2006-05-27 15:15:00","15:00:00"
"2006-05-27","15:30:00",24.35,"2006-05-27 15:30:00","15:00:00"
"2006-05-27","15:45:00",24.22,"2006-05-27 15:45:00","15:00:00"
"2006-05-27","16:00:00",24.34,"2006-05-27 16:00:00","16:00:00"
"2006-05-27","16:15:00",24.62,"2006-05-27 16:15:00","16:00:00"
"2006-05-27","16:30:00",24.68,"2006-05-27 16:30:00","16:00:00"
"2006-05-27","16:45:00",24.63,"2006-05-27 16:45:00","16:00:00"
"2006-05-27","17:00:00",24.7,"2006-05-27 17:00:00","17:00:00"
"2006-05-27","17:15:00",24.4,"2006-05-27 17:15:00","17:00:00"
"2006-05-27","17:30:00",24.2,"2006-05-27 17:30:00","17:00:00"
